assessment,test,domain,skill,difficulty,standard ID,ID,question,option A,option B,option C,option D,Correct answer,rationale or explanation,question difficulty
SAT,Math,Algebra,Linear equations in one variable,3,,e90c9c99-a67b-4bc7-afe9-8e5273b3ddc5,"In the given equation, and are constants, and . If the equation has in fi nitely many solutions, what is the value of ? ID: ac472881 Answer Correct Answer: 403 Rationale The correct answer is . For a linear equation in one variable to have in fi nitely many solutions, the coe ffi cients of the variable must be equal on both sides of the equation and the constant terms must also be equal on both sides of the equation. The given equation can be rewritten as , or . Applying the distributive property to the right-hand side of this equation yields . For this equation to have in fi nitely many solutions, the coe ffi cients of must be equal, so it follows that . Additionally, the constant terms must be equal, which means . Substituting for in this equation yields , or . Adding to both sides of this equation yields . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, if the equation has in fi nitely many solutions, the value of is . Question Di ffi culty: Hard",A. Option A,B. Option B,C. Option C,D. Option D,C,,Hard
SAT,Math,Algebra,Systems of two linear equations in two variables,2,,981e7557-a240-40b0-b392-f3be27f37876,What system of linear equations is represented by the lines shown? A. B. C. D.,A. Option A,B. Option B,C. Option C,D. Option D,C,,Medium
SAT,Math,Algebra,Linear Equations and Systems,3,,f1ba4455-04e5-4ebf-974e-0ec0e4d09616,"Answer Correct Answer: D Rationale Choice D is correct. A line in the xy -plane that passes through the points and has slope , where , and can be de fi ned by an equation of the form . One of the lines shown in the graph passes through the points and . Substituting for , for , for , and for in the equation yields , or . Substituting for , for and for in the equation yields , which is equivalent to . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, an equation of this line is . Similarly, the other line shown in the graph passes through the points and . Substituting for , for , for , and for in the equation yields , or . Substituting for , for , and for in the equation yields , which is equivalent to . Adding to both sides of this equation yields . Multiplying both sides of this equation by yields . Therefore, an equation of this line is . So, the system of linear equations represented by the lines shown is and . Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Question Di ffi culty: Hard",A. Option A,B. Option B,C. Option C,D. Option D,C,,Hard
SAT,Math,Algebra,Linear functions,1,,93f5dc71-5a66-496b-809b-40e7b1a1e75f,"The function is de fi ned by . What is the value of when ? A. B. C. D. ID: 3d1070c9 Answer Correct Answer: C Rationale Choice C is correct. It’s given that the function is de fi ned by . Substituting for in this equation yields , which is equivalent to , or . Therefore, the value of is when . Choice A is incorrect. This is the value of , not . Choice B is incorrect. This is the value of , not . Choice D is incorrect. This is the value of , not . Question Di ffi culty: Easy",A. Option A,B. Option B,C. Option C,D. Option D,C,,Easy
SAT,Math,Algebra,Linear equations in two variables,2,,4d5c84f2-b39c-4af6-881b-5447cf4493fc,"Line is de fi ned by . Line is perpendicular to line in the xy -plane. What is the slope of line ? ID: 002dba45 Answer Correct Answer: .1764, .1765, 3/17 Rationale The correct answer is . It’s given that line is perpendicular to line in the xy -plane. This means that the slope of line is the negative reciprocal of the slope of line . The equation of line , , is written in slope-intercept form , where is the slope of the line and is the y -coordinate of the y -intercept of the line. It follows that the slope of line is . The negative reciprocal of a number is divided by the number. Therefore, the negative reciprocal of is , or . Thus, the slope of line is . Note that 3/17, .1764, .1765, and 0.176 are examples of ways to enter a correct answer. Question Di ffi culty: Medium",A. Option A,B. Option B,C. Option C,D. Option D,C,,Medium
SAT,Math,Algebra,Systems of two linear equations in two variables,3,,04957ded-21d5-4af1-9352-ed01487f3383,"The solution to the given system of equations is . What is the value of ? ID: edc1b7b7 Answer Correct Answer: 3 Rationale The correct answer is . Adding the second equation to the fi rst equation in the given system of equations yields , or . Dividing both sides of this equation by yields . Substituting for in the fi rst equation, , yields , or . Subtracting from both sides of this equation yields . Dividing both sides of this equation by yields . Substituting for and for in the expression yields , or . Therefore, the value of is . Question Di ffi culty: Hard",A. Option A,B. Option B,C. Option C,D. Option D,C,,Hard
SAT,Math,Algebra,Linear inequalities in two variables,2,,f443867f-1d37-4638-90c1-4b57d4451b13,"A cargo helicopter delivers only 100-pound packages and 120-pound packages. For each delivery trip, the helicopter must carry at least 10 packages, and the total weight of the packages can be at most 1,100 pounds. What is the maximum number of 120-pound packages that the helicopter can carry per trip? A. 2 B. 4 C. 5 D. 6 ID: f224df07 Answer Correct Answer: C Rationale Choice C is correct. Let a equal the number of 120-pound packages, and let b equal the number of 100-pound packages. It’s given that the total weight of the packages can be at most 1,100 pounds: the inequality represents this situation. It’s also given that the helicopter must carry at least 10 packages: the inequality represents this situation. Values of a and b that satisfy these two inequalities represent the allowable numbers of 120-pound packages and 100-pound packages the helicopter can transport. To maximize the number of 120-pound packages, a , in the helicopter, the number of 100-pound packages, b , in the helicopter needs to be minimized. Expressing b in terms of a in the second inequality yields , so the minimum value of b is equal to . Substituting for b in the fi rst inequality results in . Using the distributive property to rewrite this inequality yields , or . Subtracting 1,000 from both sides of this inequality yields",A. Option A,B. Option B,C. Option C,D. Option D,C,,Medium
SAT,Math,Algebra,Linear Equations,1,,800eaad4-de2e-4541-90a4-55dd565a5659,"If , what is the value of ? ID: fa80893a Answer Correct Answer: 17 Rationale The correct answer is . It’s given that . Multiplying each side of this equation by yields , or . Subtracting from each side of this equation yields , or . Therefore, the value of is . Question Di ffi culty: Easy",A. Option A,B. Option B,C. Option C,D. Option D,C,,Easy
SAT,Math,Algebra,Linear functions,1,,b07bf119-8836-4266-bf6c-6c57ead8c752,"The function is de fi ned by . For what value of does ? A. B. C. D. ID: bd9eb2b5 Answer Correct Answer: B Rationale Choice B is correct. Substituting for in the given function yields . Dividing each side of this equation by yields . Therefore, when the value of is . Choice A is incorrect. This is the value of for which , not . Choice C is incorrect. This is the value of for which , not . Choice D is incorrect. This is the value of for which , not . Question Di ffi culty: Easy",A. Option A,B. Option B,C. Option C,D. Option D,a,,Easy
SAT,Math,Expression of Ideas,Words in Context,1,,dd7d5da9-113f-43ca-b1e6-43c25a9c63cb,"Module 1 Reading and Writing 33 QUESTIONS DIRECTIONS The questions in this section address a number of important reading and writing skills. Each question includes one or more passages, which may include a table or graph. Read each passage and question carefully, and then choose the best answer to the question based on the passage(s). All questions in this section are multiple -choice with four answer choices. Each question has a single best answer. ---------~ ---------~ 1 The spacecraft OSIRIS-REx briefly made contact with the astero Bennu in 2020. NASA scientist Daniella DellaGiustina reports that despite facing the unexpected obstacle of a surface mostly covered in boulders, OSIRIS-REx successfully _______ a sample of the surface, gathering pieces of it to bring back to Earth. Which choice completes the text with the most logical and precise word or phrase? A) attached B) collected C) followed D) replaced 2 Research conducted by planetary scientist Katarina Miljkovic suggests that the Moon’s surface may not accurately _______ early impact events. When the Moon was still forming, its surface was softer, and asteroid or meteoroid impacts would have left less of an impression; thus, evidence of early impacts may no longer be present. Which choice completes the text with the most logical and precise word or phrase? A) reflect B) receive C) evaluate D) mimic Unauthorized copying or reuse of any part of this page is illegal. 2 CO NTI N U E ......................................................................................................................................................................................................",A. Option A,B. Option B,C. Option C,D. Option D,c,,Easy
