id,course_id,document_id,question_number,internal_id,section,stem,question_type,type,options,answer,answer_choice,answer_text,explanation,difficulty,difficulty_level,unit_tag,tags,classification,source_mapping,page_number,position,embedding,ai_generated,provenance_chunk_ids,confidence,needs_review,parsing_metadata,reviewed_at,reviewed_by,created_at,updated_at,exam,canonical_id,test_code,section_code,source_type,competencies,version
550e8400-e29b-41d4-a716-446655440001,,,,,Math,"If 2x + 3 = 11, what is x?",multiple_choice,,"[{""key"": ""A"", ""text"": ""3""}, {""key"": ""B"", ""text"": ""4""}, {""key"": ""C"", ""text"": ""5""}, {""key"": ""D"", ""text"": ""6""}]",B,,,Solve: 2x = 8 → x = 4,,,,[],,,,,,false,,1,false,,,,2025-10-30 18:29:31.415+00,2025-12-08 06:48:19.28452+00,SAT,,SAT,M,,,1
550e8400-e29b-41d4-a716-446655440002,,,,,Math,What is the value of 3x - 5 when x = 4?,multiple_choice,,"[{""key"": ""A"", ""text"": ""5""}, {""key"": ""B"", ""text"": ""7""}, {""key"": ""C"", ""text"": ""9""}, {""key"": ""D"", ""text"": ""11""}]",B,,,3(4) - 5 = 12 - 5 = 7,,,,"[""algebra""]",,,,,,false,,1,false,,,,2025-11-22 01:12:03.743649+00,2025-12-08 06:48:19.18518+00,SAT,,SAT,M,,,1
550e8400-e29b-41d4-a716-446655440003,,,,,Reading,What is the main idea of the passage?,multiple_choice,,"[{""key"": ""A"", ""text"": ""Option A""}, {""key"": ""B"", ""text"": ""Option B""}, {""key"": ""C"", ""text"": ""Option C""}, {""key"": ""D"", ""text"": ""Option D""}]",C,,,The passage focuses on...,,,,"[""reading-comprehension""]",,,,,,false,,1,false,,,,2025-11-22 01:13:15.435329+00,2025-12-08 06:48:19.069635+00,SAT,,,RW,,,1
d73ff10a-eba5-4243-8cc5-6e2c1a771880,,,,,Reading,Which choice most logically completes the text? ______,multiple_choice,,"[{""key"": ""A"", ""text"": ""demonstrate the difficulties faced by contemporary historians in conducting research at the Bodleian Library without""}, {""key"": ""B"", ""text"": ""represent the challenge of incorporating examples of ephemera into the collections of libraries and other scholarly""}, {""key"": ""C"", ""text"": ""lend support to arguments by historians and other researchers who continue to assert that ephemera holds no value for""}, {""key"": ""D"", ""text"": ""illustrate both the relatively low scholarly regard in which ephemera was once held and the later recognition of""}]",D,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.516382+00,SAT,,,RW,,,1
eb2dde1f-53cf-475e-8205-18b27494802e,,,,,Reading,"Reading and Writing Information and Ideas Central Ideas and Details Utah is home to Pando, a colony of about 47,000 quaking aspen trees that all share a single root system. Pando is one of the largest single organisms by mass on Earth, but ecologists are worried that its growth is declining in part because of grazing by animals. The ecologists say that strong fences could prevent deer from eating young trees and help Pando start thriving again. According to the text, why are ecologists worried about Pando?",multiple_choice,,"[{""key"": ""A"", ""text"": ""It isn’t growing at the same rate it used to.""}, {""key"": ""B"", ""text"": ""It isn’t producing young trees anymore.""}, {""key"": ""C"", ""text"": ""It can’t grow into new areas because it is blocked by fences.""}, {""key"": ""D"", ""text"": ""Its root system can’t support many more new trees.""}]",A,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.974409+00,SAT,,,RW,,,1
3711a002-f72d-4cae-98e8-3232225b6d1f,,,,,Reading,"which can be purchased online from anywhere and often can be redeemed online as well) as superior to physical gift cards (which sometimes must be purchased in person and may only be redeemable in person) in terms of usage, 94.8 percent of participants surveyed indicated that it is more socially acceptable to give a physical gift card to a recipient. This finding suggests that ______ Which choice most logically completes the text?",multiple_choice,,"[{""key"": ""A"", ""text"": ""gift givers likely overestimate the amount of effort required to use digital gift cards and thus mistakenly assume gift""}, {""key"": ""B"", ""text"": ""physical gift cards are likely preferred by gift recipients because the tangible nature of those cards offers a greater""}, {""key"": ""C"", ""text"": ""physical gift cards are likely less desirable to gift recipients than digital gift cards are because of the perception that""}, {""key"": ""D"", ""text"": ""gift givers likely perceive digital gift cards as requiring relatively low effort to obtain and thus wrongly assume gift""}]",D,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.739941+00,SAT,,,RW,,,1
1e8a2916-43ed-48e3-8032-dc2b34cdf4dc,,,,,Reading,"which premiered in New York City in 2011, transforms its performance space—a five-story warehouse—into a 1930s-era hotel. Audience members, who wander through the labyrinthine venue at their own pace and follow the actors as they play out simultaneous, interweaving narrative loops, confront the impossibility of experiencing the production in its entirety. The play’s refusal of narrative coherence thus hinges on the sense of spatial fragmentation that the venue’s immense and intricate layout generates. What does the text most strongly suggest about Sleep No More’s use of its performance space?",multiple_choice,,"[{""key"": ""A"", ""text"": ""The choice of a New York City venue likely enabled the play’s creators to experiment with the use of theatrical space in a""}, {""key"": ""B"", ""text"": ""Audience members likely find the experience of the play disappointing because they generally cannot make their way""}, {""key"": ""C"", ""text"": ""The production’s dependence on a particular performance environment would likely make it difficult to reproduce exactly""}, {""key"": ""D"", ""text"": ""Audience members who navigate the space according to a recommended itinerary will likely have a better grasp of the""}]",C,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.608542+00,SAT,,,RW,,,1
7b28f384-2bcd-4f91-946a-97b8ee4a231b,,,,,Reading,"in the interim. Another factor is that the morphological variability of microorganisms is poorly understood compared to that of vertebrates, invertebrates, plants, and algae, creating uncertainty about how to evaluate microorganisms as species. Researchers’ decisions on such matters therefore can be highly consequential. Indeed, the two censuses reported similar counts of vertebrate, plant, and algal species, suggesting that ______ Which choice most logically completes the text?",multiple_choice,,"[{""key"": ""A"", ""text"": ""Coll and colleagues reported a much higher number of species than Bianchi and Morri did largely due to the inclusion of""}, {""key"": ""B"", ""text"": ""some differences observed in microorganisms may have been treated as variations within species by Bianchi and Morri""}, {""key"": ""C"", ""text"": ""Bianchi and Morri may have been less sensitive to the degree of morphological variation displayed within a typical""}, {""key"": ""D"", ""text"": ""the absence of clarity regarding how to differentiate among species of microorganisms may have resulted in Coll and""}]",B,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.406107+00,SAT,,,RW,,,1
7d7d6c20-4adc-46f2-89fb-28b543ad1edd,,,,,Reading,"Reading and Writing Information and Ideas Central Ideas and Details During the World War II era, some Mexican American women adopted a striking new look called pachuca style. They wore altered men’s jackets or zoot suits (wide-legged, long-coated suits) and dramatic makeup, and they combed their hair into high, rounded shapes. Some people criticized pachuca style, saying it was dangerous and women should dress traditionally. But historians see things differently. They see pachuca style as a form of rebellion against the era’s rigid social expectations for women. They say that it showed a desire for self-expression and freedom on the part of women who adopted the style. According to the text, how do historians view pachuca style?",multiple_choice,,"[{""key"": ""A"", ""text"": ""They think that pachuca style was such a popular trend that it continues to influence fashion in the United States to the""}, {""key"": ""B"", ""text"": ""They think that pachuca style was a way for some Mexican American women to express themselves and resist strict""}, {""key"": ""C"", ""text"": ""They think that pachuca style was celebrated because it enabled some Mexican American women to show their support""}, {""key"": ""D"", ""text"": ""They think that pachuca style was similar to other fashion trends that different groups of women adopted in the same""}]",B,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.094961+00,SAT,,,RW,,,1
881320e0-2a00-4f56-8d3a-f16713063b20,,,,,Reading,"in the mid-nineteenth century displaced the painted portrait in the public consciousness. The diminishing popularity of the portrait miniature, which coincided with the rise of photography, seems to support this claim. However, photography’s impact on the portrait miniature may be overstated. Although records from art exhibitions in the Netherlands from 1820 to 1892 show a decrease in the number of both full-sized and miniature portraits submitted, this trend was established before the invention of photography. Based on the text, what can be concluded about the diminishing popularity of the portrait miniature in the nineteenth century?",multiple_choice,,"[{""key"": ""A"", ""text"": ""Factors other than the rise of photography may be more directly responsible for the portrait miniature’s decline.""}, {""key"": ""B"", ""text"": ""Although portrait miniatures became less common than photographs, they were widely regarded as having more artistic""}, {""key"": ""C"", ""text"": ""The popularity of the portrait miniature likely persisted for longer than art historians have assumed.""}, {""key"": ""D"", ""text"": ""As demand for portrait miniatures decreased, portrait artists likely shifted their creative focus to photography.""}]",A,,,,,,,[],,,,,,false,,1,false,,,,2025-11-22 02:19:23.762544+00,2025-12-08 06:48:18.837851+00,SAT,,,RW,,,1
